f1-F,f2-F,f3-F,f4-F,f5-F,f6-F,f7-F,f8-F,f9-F,f10-F,f11-F,f12-F,f13-F,f14-F,f15-F,f16-F,f17-F,f18-F,f19-F,f20-F,f21-F,f22-F,f23-F,f24-F,f25-F,f1-LT,f2-LT,f3-LT,f4-LT,f5-LT,f6-LT,f7-LT,f8-LT,f9-LT,f10-LT,f11-LT,f12-LT,f13-LT,f14-LT,f15-LT,f16-LT,f17-LT,f18-LT,f19-LT,f20-LT,f21-LT,f22-LT,f23-LT,f24-LT,f25-LT,f1-RT,f2-RT,f3-RT,f4-RT,f5-RT,f6-RT,f7-RT,f8-RT,f9-RT,f10-RT,f11-RT,f12-RT,f13-RT,f14-RT,f15-RT,f16-RT,f17-RT,f18-RT,f19-RT,f20-RT,f21-RT,f22-RT,f23-RT,f24-RT,f25-RT,f1-C,f2-C,f3-C,f4-C,f5-C,f6-C,f7-C,f8-C,f9-C,f10-C,f11-C,f12-C,f13-C,f14-C,f15-C,f16-C,f17-C,f18-C,f19-C,f20-C,f21-C,f22-C,f23-C,f24-C,f25-C,f1-PO,f2-PO,f3-PO,f4-PO,f5-PO,f6-PO,f7-PO,f8-PO,f9-PO,f10-PO,f11-PO,f12-PO,f13-PO,f14-PO,f15-PO,f16-PO,f17-PO,f18-PO,f19-PO,f20-PO,f21-PO,f22-PO,f23-PO,f24-PO,f25-PO,label
6.563571,5.2189493,3.0498047,1.8653055,1.8353469,1.8473209,1.2959267,1.4767824,1.5810195,1.2155927,0.88424939,0.81291318,1.0168574,1.2287763,0.6992054,0.88590813,0.78313154,2.1007943,4.6694293,13.945848,24.054695,16.30732,10.754343,5.9474869,2.4219513,3.6635044,3.0690932,2.1733508,1.6145756,1.1378217,1.1704652,0.87629378,1.1796465,1.3304228,0.85034734,0.80282176,0.8145684,0.75099313,0.69154054,0.70692641,0.78375542,0.82665527,1.2829303,2.3361604,7.2591782,10.553705,7.778933,6.3540397,3.4373393,1.5512053,4.5760827,2.894511,2.0786011,1.4549406,1.1855433,1.0623698,0.83675587,1.1682688,1.0424533,0.82970697,0.85068595,1.0082436,0.83033448,0.63014621,0.52735448,0.73046911,0.68791568,1.5004833,3.5912678,8.4338884,12.503735,9.9326534,7.7901278,3.3392861,1.8049473,4.1412029,2.6617913,2.0468409,1.4278088,0.94664395,0.97164893,0.72002769,0.92204231,0.94686949,0.83426154,0.59001172,0.67141289,0.66949618,0.62173617,0.39549142,0.71435541,0.84473407,1.3387086,2.2636752,6.4002094,10.538869,5.7245908,4.3791533,2.2405415,1.0836462,6.1238346,4.4672966,3.0823197,2.2948167,1.8556079,2.3455009,2.139488,2.7367542,2.7444422,2.8473284,2.1472759,1.9079465,1.9418846,2.1869221,1.7902849,2.2901373,2.5033674,6.5532355,15.197768,46.334747,70.978157,46.265961,33.684998,16.11739,7.0761065,0
7.1064682,5.8658528,3.6701193,2.5256698,1.75773,1.454494,1.5152613,1.0031265,1.2535623,1.0625153,1.5518923,1.6841381,1.2541089,1.10958,1.1066823,1.2204266,1.3433973,2.7220085,5.1274552,9.9612894,25.268732,22.986103,6.9815612,3.383599,1.4972054,4.3702536,2.9137549,1.4348931,1.0120692,1.2446473,1.4222238,0.92991102,0.78837097,0.9353143,1.0487998,1.213666,1.2041028,0.73620594,0.76434976,0.92155629,1.0775124,1.3457077,2.1184137,3.4102051,5.5168433,9.3686857,8.4516449,3.491684,1.9437777,1.1207042,3.8961964,3.0540109,2.1713109,1.9337454,1.3858178,1.1457274,0.9276551,0.853378,1.2723069,1.1713793,1.4440092,1.3386877,0.93365192,1.3165953,1.1530586,1.3965455,1.6087382,2.3110194,4.6749115,8.707571,11.227053,9.0619164,4.4145374,2.2169418,1.3656006,5.7229061,3.3503191,1.6598203,1.4341304,1.3120981,1.0479882,0.64084494,0.57938969,0.69475889,0.87120575,1.2615466,1.2656711,0.77645272,0.83995616,0.83157998,0.83084214,0.95739317,1.9163549,3.1431894,6.0918927,9.4962635,7.612154,3.8985927,1.7185124,0.82186508,6.3200393,6.2594223,4.5562406,3.3733535,2.6146085,3.1814587,2.8760302,1.9744604,3.0289192,2.8932145,2.6692677,3.2054904,2.5285752,2.0383971,2.3808012,3.271302,4.0845757,7.8774843,15.762299,29.033285,57.531002,52.772881,17.912193,9.4210787,4.3092494,1
5.6453381,3.8500495,3.8416874,2.8214264,1.4723585,1.2295659,1.4464562,1.6416817,1.4435005,1.5331851,1.1344066,1.0671692,0.89925408,0.73064458,0.8992331,1.1236702,1.2771947,1.6022916,3.551357,7.3955855,23.83366,27.886475,9.0323153,2.5008609,1.3547792,2.6083593,1.9926068,2.0555766,1.68332,0.88314897,1.2055252,1.1577065,0.98410386,1.0724388,1.4678726,1.1472331,0.87936163,0.82471144,0.70598644,0.64329475,1.1219757,1.5291749,1.6285613,3.2260273,5.0450621,10.325281,12.217909,4.5497012,1.6596237,1.6813984,4.0042276,2.7062714,2.2203636,1.6501011,0.9116047,1.055124,1.1510761,0.97087848,1.0820326,1.3510298,0.96042097,1.0301625,1.0127413,0.95035279,1.1575124,1.4125055,1.6844553,2.0076988,4.7201672,6.7250686,12.848803,13.9629,6.1117721,2.0143406,1.4624386,4.302824,3.0446935,2.0137734,1.535187,0.72367859,1.0704883,1.1757008,1.1643568,1.0095186,0.94071156,0.98459285,0.90009701,0.7733165,0.8622247,0.72284222,0.81325459,1.1943291,2.4248488,5.0005751,5.8168387,8.6859474,10.772967,3.4147568,1.1094642,1.0199959,5.3149819,4.587234,4.6495857,3.3853755,1.7460287,2.2092702,2.6024771,2.4747043,2.4607029,3.1815982,2.3052263,2.1401439,2.0267761,1.9414222,1.8155975,2.8316178,4.1032195,5.4542427,12.017023,22.935608,63.837311,78.808357,27.835506,8.1027155,5.8533559,1
5.8254161,4.3791533,2.2540364,1.8564689,1.5595638,1.4049988,1.0060457,1.1453781,1.0159979,1.08503,1.2693641,0.82651258,0.90671206,1.1306931,1.1661019,0.76471722,2.0550084,3.3205557,3.0238094,4.8839245,25.654896,25.89027,8.5318508,3.268008,1.6430614,3.9021161,2.6541092,1.844416,1.5127959,1.5866405,0.98724538,1.4004272,0.99240178,0.83038169,0.83107007,0.7092073,0.6497969,0.71588743,1.0166376,1.177876,0.83000791,1.260196,1.9959558,2.2881091,3.0198803,11.081573,11.601875,5.8126478,2.2260649,1.3338294,4.0392404,2.4569156,1.8014002,1.4878013,1.7184675,1.2550973,1.409776,1.111089,0.84770936,0.91360044,0.96387851,0.68002349,0.92763472,0.9244048,0.9869889,0.84123421,1.4328846,1.7160286,2.4899583,3.8451321,12.359094,15.000607,6.6403046,2.1155612,1.1272707,4.0483651,2.9085832,1.8634224,1.6829721,1.6808221,0.96580648,1.0726348,0.76029921,0.90122533,0.83909738,0.83569551,0.45741522,0.62926608,0.74671352,0.87620801,0.59806907,1.2407167,2.0392737,2.2073417,2.9062495,10.020667,9.1679993,3.6485939,1.5743332,0.70559877,6.3631153,5.1479588,3.0958736,2.9308193,3.0002978,1.8824537,2.2492085,2.6339946,2.6301217,2.6791475,2.2958851,1.3839457,1.7042379,2.5957708,2.7614748,2.3678095,5.5249782,8.288168,10.563636,17.088028,73.350342,79.993912,33.286079,10.55405,5.0556698,1
5.427525,3.2451189,2.1942747,1.8107965,2.1517851,1.5378567,1.3951495,1.6012323,2.0456419,2.5317171,2.2015204,1.8045065,1.2120223,1.2878925,1.5677453,2.7107356,3.6783082,5.8087058,10.444594,38.121349,40.583633,19.858059,4.7767658,2.1917455,1.1922092,2.5520244,2.1948361,1.7509924,1.4764614,1.7280285,1.3320699,0.99882442,1.0484715,1.2971413,1.4405504,1.2888626,1.4520586,1.1769972,1.0038612,1.1747652,1.8782192,2.358376,3.8323624,6.8938651,15.878832,13.903761,8.8078766,4.4548702,1.6541064,1.4063299,4.5817919,3.119571,2.1022363,1.778868,1.9963014,1.3354111,1.1493677,1.2039465,1.3067167,1.5130025,1.1610944,1.3390234,1.0300777,1.1186359,1.4033718,1.8352373,3.1292927,5.4503622,7.5678587,17.173563,14.939082,11.378635,5.1195817,2.154449,1.7446868,3.6840632,2.6362784,1.7878252,1.2968807,1.2043624,0.99708933,0.83576626,0.87580204,1.1273346,1.245863,1.0982577,1.8453567,1.466477,1.2659206,1.3012692,1.9425865,2.6303749,6.5796194,7.9572272,13.837671,14.597376,13.247058,6.9085307,2.0047343,0.95846623,4.7627935,4.0750675,3.26353,2.9909704,3.8485031,3.2670944,2.8373744,3.3003795,4.0675654,5.1738501,3.4972036,3.2429929,2.8208663,2.317641,2.5039909,5.5139866,9.1938629,18.798601,31.487349,93.156487,95.078857,61.763027,20.199863,5.7621756,5.4540925,1
6.4810534,3.1401358,1.834569,2.0706584,1.8139559,1.6609688,1.3372583,1.053021,1.0530087,1.1305749,1.2034146,1.1060934,0.90284312,0.97640169,0.9141553,1.4300934,1.8166413,3.4149172,5.8755007,6.7793422,24.499355,19.15534,9.2477093,4.3605533,1.5337296,4.0624342,2.142581,1.4211943,1.1813787,1.2521176,1.3943007,1.15818,0.90733826,1.113409,0.90812987,0.91425782,1.1397364,1.0057137,1.0216036,0.71101081,0.76177466,0.98081779,2.2649722,3.4384873,4.5889354,10.25904,9.9283829,5.1848125,2.7154865,1.6419156,5.439908,2.6773543,1.4891903,1.5119407,1.2761897,1.1727083,1.1690483,0.88414651,1.2480143,1.1845281,1.1802092,1.0194904,0.96441138,0.9790675,1.0452403,1.3520584,1.6600212,2.5066426,3.567224,5.4344363,10.877089,11.752205,6.9327674,3.532521,1.8094337,4.4461269,2.3930242,1.3235686,1.2291948,1.3349849,1.6220986,1.1676165,0.87449014,1.3078945,0.81722057,1.0331168,1.0029204,0.69839615,0.92857069,0.6428954,0.64012933,1.001141,2.2967708,2.9825554,3.8694425,6.8862615,6.2191424,4.4889555,3.2267191,1.8127501,5.2648287,3.4690876,2.403425,2.6688287,2.8451364,2.5809109,2.5092654,1.9028674,2.4092381,1.8631777,2.2994602,2.8098247,2.2001681,2.0747473,1.9966794,2.5789356,3.6954539,9.8532667,15.193131,19.8428,61.149544,60.227947,32.209854,16.844151,6.9899178,1
5.9771323,3.4041748,2.5345001,1.649823,1.4262729,1.4221834,1.6280926,1.5759667,1.9505368,2.033227,1.4829544,0.96364075,0.91889054,0.88580549,1.0401988,1.6696824,3.6636345,2.9449446,4.180769,17.493334,44.619347,33.190647,6.3489614,1.5581844,1.6494901,3.3262227,2.1441865,1.6071198,1.3438463,1.3278015,1.1831468,0.86176938,0.88799417,1.0667583,1.1745874,1.1316167,0.87919205,0.71647024,0.64639866,1.1275041,1.6389735,1.8704621,2.4131534,4.0286713,8.0783463,14.139254,11.595866,3.608258,1.281261,1.0806994,3.5246766,2.6001136,1.7177055,1.2616965,1.2986478,1.3059783,1.0894381,1.5594223,1.5588136,1.1821369,1.0004702,0.83552325,0.61008871,0.61522055,1.0479965,1.4726946,2.2135835,2.5830598,4.5391545,8.8202276,16.577291,13.72391,4.2642961,1.5336802,1.1831074,3.6616354,2.5505056,1.7015799,1.3740389,1.5052642,1.2249277,0.62609029,1.171966,1.2063283,1.0069594,0.92099404,0.50413603,0.54651761,0.71478379,0.9441551,1.1694478,1.9405365,3.3699865,4.7978835,9.8205729,13.831742,9.9021883,3.2578795,1.5688665,0.82353073,5.3097591,4.7428336,3.9599574,2.8052721,2.5879142,2.4930153,2.1905711,2.6930578,3.090795,2.8370104,2.5287287,1.6335908,1.513986,1.661532,2.5807991,4.1989322,7.1010437,8.5551157,14.840308,47.693932,101.76849,86.312515,23.884483,6.2287769,4.8616619,1
6.5486932,4.5194135,4.2202153,3.5733409,2.1838295,1.7774398,1.7912892,1.2044266,1.9133056,1.8793794,1.0972575,0.99682575,0.91754168,0.94742298,1.4877086,1.7243601,3.2373891,3.4749696,5.581635,9.0115223,34.210236,27.662868,5.9870462,2.777113,1.6487168,2.8038507,2.8565648,2.7179477,2.0762019,1.7686784,1.4758258,1.3074087,0.84549618,0.81562674,0.99643612,1.0084112,1.1278023,0.79737318,0.70854342,1.0785912,1.1294343,1.4801278,2.0679114,4.4634662,9.0237446,15.982493,12.143299,4.3447909,2.0808702,1.4393891,4.4312525,3.6757209,3.1274633,2.3286178,2.5131207,1.5473087,1.4102466,1.4274229,0.96795142,1.3746634,1.2241738,1.0826626,1.0090909,1.2226411,1.6861404,1.6861508,2.3919713,3.0393848,5.315371,10.809493,16.992727,13.103861,4.8849301,2.0961645,1.8148733,2.3855565,2.9386752,3.0918114,1.8521298,1.2966959,0.99496758,0.66789013,0.7822848,0.83087784,0.80116463,0.93486053,0.79569805,0.68527466,0.4852761,0.84133917,0.87888616,1.4536989,2.5441117,5.7078424,8.0188551,16.742527,12.498936,3.1770339,2.1803017,1.8224138,6.3370829,6.2548103,6.7965403,5.3486376,3.9388478,3.3450685,3.2306461,2.4508398,2.7846689,3.88956,3.0725651,2.2665911,1.9485539,1.5100932,2.6279261,3.7179449,6.3795023,7.4202523,20.848679,38.948845,96.346741,77.848854,20.82608,9.3745804,6.0453315,1
4.4004741,2.8257334,1.9862019,1.2994119,1.402458,1.8359205,1.1696931,1.2237912,1.1241897,1.5055621,1.3730309,1.2838092,1.5184047,1.4430639,0.95866656,1.1390412,1.2111084,2.1272438,5.7044024,10.939195,33.933346,21.571917,7.2113261,5.5112486,2.0841477,2.5344868,2.0658851,1.4053514,1.2589844,0.98433238,1.1315695,0.97850418,1.4023035,1.0859835,1.3422214,0.93193245,0.78626901,1.2649953,0.96452141,0.84622449,0.70812076,0.91919881,2.1069815,4.0067315,6.5257692,12.727263,9.479002,4.8882699,2.6757014,1.1135017,3.8485706,2.2215009,1.620676,1.1828891,1.0356308,1.1590384,1.0735067,1.5584552,1.1723658,1.1724733,0.93283165,1.1535834,1.0878716,0.96085232,1.0224729,1.1854495,1.4816517,2.0695601,4.6867676,7.1968813,13.739634,9.2677889,4.6128473,2.748652,1.4972899,4.0507174,2.0975001,0.97214711,1.4285322,1.1588101,1.1155086,0.97754854,1.4404056,1.0431724,1.3739171,0.96976638,0.57566601,0.78316432,0.60099465,0.51618922,0.56869048,1.1575489,2.4666848,4.471868,6.1165805,11.60934,7.714385,4.5330677,2.7279251,1.2000722,5.1292181,3.934638,2.724906,1.9013293,2.2299831,2.5834312,2.0358133,2.6441557,2.4025888,3.5831611,2.4217772,1.8141943,2.1867085,2.0794277,1.6212761,2.4152968,2.6879823,6.9336267,17.287815,29.797371,77.778229,54.429901,21.817911,14.628593,6.2662225,1
5.2712646,3.9601407,2.5550616,1.6261795,1.301536,1.5342197,1.5614673,1.2410414,1.4002705,1.8381593,1.484781,1.175208,1.2687166,1.190853,1.7385666,1.9694459,1.8459113,2.5601659,4.5255194,5.8114157,16.43116,21.826042,8.1850958,3.1645858,2.4677103,3.0626712,2.2387252,1.51042,1.358135,1.2364134,1.2332349,1.1524404,1.0473239,1.1234486,1.1035956,0.80692947,1.0590134,0.89839137,0.71870297,1.0009592,1.2095015,1.6531738,2.1674807,3.2581475,4.2382116,9.717659,10.014038,5.5943551,2.6232457,1.9108608,4.7147484,2.8149014,1.8684578,1.3369973,1.101537,1.474485,1.967315,1.4234092,1.316015,1.3186183,1.0297097,0.97354162,1.0240444,1.2249279,1.4482423,1.5583435,1.9266695,2.9775887,4.7597346,5.1820941,12.53835,13.194104,5.6495671,2.5472054,2.0515273,5.0028386,3.028441,1.1543808,1.0581839,0.95481718,1.1532574,1.1458123,1.0308357,0.8909924,1.2425218,1.0196588,1.1279674,0.88491559,0.63038671,0.95289439,1.1219915,1.6292185,2.1300726,3.5515702,4.4958754,10.581645,9.4630184,4.2345719,2.107805,1.9217861,4.8529587,4.1410689,2.9473863,2.3199511,2.1240175,2.5360241,2.4702103,2.0435035,2.5073164,3.4260247,2.6128817,1.8951948,2.1301374,1.9884669,2.9435215,3.641964,5.0749183,8.7439995,13.785311,16.324369,48.199261,65.302101,29.700838,11.514667,8.5722389,1
