mean_test_score,max_depth,min_samples_split,n_estimators,size
0.841865358,12,2,180,518.65358
0.841865358,12,2,181,518.65358
0.844015895,12,2,182,540.15895
0.844015895,12,2,183,540.15895
0.844015895,12,2,184,540.15895
0.844015895,12,2,185,540.15895
0.844015895,12,2,186,540.15895
0.844015895,12,2,187,540.15895
0.844015895,12,2,188,540.15895
0.841865358,12,2,189,518.65358
0.841865358,12,2,190,518.65358
0.83971482,12,2,191,497.1482
0.83971482,12,2,192,497.1482
0.83971482,12,2,193,497.1482
0.83971482,12,2,194,497.1482
0.841865358,12,2,195,518.65358
0.844015895,12,2,196,540.15895
0.84399252,12,2,197,539.9252
0.841841982,12,2,198,518.41982
0.841841982,12,2,199,518.41982
0.841841982,12,2,200,518.41982
0.841841982,12,2,201,518.41982
0.841841982,12,2,202,518.41982
0.839691445,12,2,203,496.91445
0.841841982,12,2,204,518.41982
0.841841982,12,2,205,518.41982
0.839691445,12,2,206,496.91445
0.841841982,12,2,207,518.41982
0.841841982,12,2,208,518.41982
0.839691445,12,2,209,496.91445
0.841841982,12,2,210,518.41982
0.841865358,12,2,211,518.65358
0.84399252,12,2,212,539.9252
0.844015895,12,2,213,540.15895
0.84399252,12,2,214,539.9252
0.841865358,12,2,215,518.65358
0.844015895,12,2,216,540.15895
0.848340346,12,2,217,583.40346
0.846166433,12,2,218,561.66433
0.846166433,12,2,220,561.66433
0.841841982,12,3,180,518.41982
0.839691445,12,3,181,496.91445
0.841841982,12,3,182,518.41982
0.841841982,12,3,183,518.41982
0.837517532,12,3,184,475.17532
0.837517532,12,3,185,475.17532
0.837517532,12,3,186,475.17532
0.841841982,12,3,187,518.41982
0.837517532,12,3,188,475.17532
0.839691445,12,3,189,496.91445
0.841841982,12,3,190,518.41982
0.84399252,12,3,191,539.9252
0.841818607,12,3,192,518.18607
0.84399252,12,3,193,539.9252
0.841818607,12,3,194,518.18607
0.846143058,12,3,195,561.43058
0.84399252,12,3,196,539.9252
0.84399252,12,3,197,539.9252
0.84399252,12,3,198,539.9252
0.84399252,12,3,199,539.9252
0.846143058,12,3,200,561.43058
0.841818607,12,3,201,518.18607
0.843969144,12,3,202,539.69144
0.846143058,12,3,203,561.43058
0.84399252,12,3,204,539.9252
0.846143058,12,3,205,561.43058
0.84399252,12,3,206,539.9252
0.84399252,12,3,207,539.9252
0.84399252,12,3,208,539.9252
0.84399252,12,3,209,539.9252
0.841841982,12,3,210,518.41982
0.84399252,12,3,211,539.9252
0.841818607,12,3,212,518.18607
0.84399252,12,3,213,539.9252
0.84399252,12,3,214,539.9252
0.84399252,12,3,215,539.9252
0.84399252,12,3,216,539.9252
0.84399252,12,3,217,539.9252
0.841865358,12,3,218,518.65358
0.84399252,12,3,220,539.9252
0.84399252,12,4,180,539.9252
0.841818607,12,4,181,518.18607
0.84399252,12,4,182,539.9252
0.84399252,12,4,183,539.9252
0.846166433,12,4,184,561.66433
0.846166433,12,4,185,561.66433
0.846166433,12,4,186,561.66433
0.846166433,12,4,187,561.66433
0.846166433,12,4,188,561.66433
0.846166433,12,4,189,561.66433
0.846166433,12,4,190,561.66433
0.84399252,12,4,191,539.9252
0.841818607,12,4,192,518.18607
0.84399252,12,4,193,539.9252
0.846166433,12,4,194,561.66433
0.841841982,12,4,195,518.41982
0.841841982,12,4,196,518.41982
0.839668069,12,4,197,496.68069
0.841841982,12,4,198,518.41982
0.841841982,12,4,199,518.41982
0.841841982,12,4,200,518.41982
0.839668069,12,4,201,496.68069
0.841841982,12,4,202,518.41982
0.841841982,12,4,203,518.41982
0.841841982,12,4,204,518.41982
0.841841982,12,4,205,518.41982
0.841841982,12,4,206,518.41982
0.839668069,12,4,207,496.68069
0.839668069,12,4,208,496.68069
0.839668069,12,4,209,496.68069
0.839668069,12,4,210,496.68069
0.839668069,12,4,211,496.68069
0.839668069,12,4,212,496.68069
0.839668069,12,4,213,496.68069
0.839668069,12,4,214,496.68069
0.839668069,12,4,215,496.68069
0.841841982,12,4,216,518.41982
0.839668069,12,4,217,496.68069
0.839668069,12,4,218,496.68069
0.841841982,12,4,220,518.41982
0.831019168,12,5,180,410.19168
0.831019168,12,5,181,410.19168
0.831019168,12,5,182,410.19168
0.831019168,12,5,183,410.19168
0.831019168,12,5,184,410.19168
0.833169705,12,5,185,431.69705
0.833169705,12,5,186,431.69705
0.839668069,12,5,187,496.68069
0.835320243,12,5,188,453.20243
0.839668069,12,5,189,496.68069
0.837494156,12,5,190,474.94156
0.837494156,12,5,191,474.94156
0.837494156,12,5,192,474.94156
0.839668069,12,5,193,496.68069
0.837494156,12,5,194,474.94156
0.835343619,12,5,195,453.43619
0.835343619,12,5,196,453.43619
0.835343619,12,5,197,453.43619
0.837517532,12,5,198,475.17532
0.837517532,12,5,199,475.17532
0.835343619,12,5,200,453.43619
0.835343619,12,5,201,453.43619
0.835343619,12,5,202,453.43619
0.831019168,12,5,203,410.19168
0.833169705,12,5,204,431.69705
0.833169705,12,5,205,431.69705
0.833169705,12,5,206,431.69705
0.833169705,12,5,207,431.69705
0.831019168,12,5,208,410.19168
0.831019168,12,5,209,410.19168
0.831019168,12,5,210,410.19168
0.831019168,12,5,211,410.19168
0.831019168,12,5,212,410.19168
0.833193081,12,5,213,431.93081
0.833193081,12,5,214,431.93081
0.833193081,12,5,215,431.93081
0.835366994,12,5,216,453.66994
0.835366994,12,5,217,453.66994
0.835366994,12,5,218,453.66994
0.833193081,12,5,220,431.93081
0.824497429,12,6,180,344.97429
0.824497429,12,6,181,344.97429
0.826671342,12,6,182,366.71342
0.828821879,12,6,183,388.21879
0.828845255,12,6,184,388.45255
0.830995792,12,6,185,409.95792
0.828845255,12,6,186,388.45255
0.826694717,12,6,187,366.94717
0.826694717,12,6,188,366.94717
0.826671342,12,6,189,366.71342
0.824497429,12,6,190,344.97429
0.824497429,12,6,191,344.97429
0.824497429,12,6,192,344.97429
0.826671342,12,6,193,366.71342
0.828821879,12,6,194,388.21879
0.826647966,12,6,195,366.47966
0.828821879,12,6,196,388.21879
0.826671342,12,6,197,366.71342
0.826647966,12,6,198,366.47966
0.826671342,12,6,199,366.71342
0.824497429,12,6,200,344.97429
0.822323516,12,6,201,323.23516
0.828821879,12,6,202,388.21879
0.820172978,12,6,203,301.72978
0.822323516,12,6,204,323.23516
0.826671342,12,6,205,366.71342
0.824497429,12,6,206,344.97429
0.824497429,12,6,207,344.97429
0.824497429,12,6,208,344.97429
0.826671342,12,6,209,366.71342
0.824497429,12,6,210,344.97429
0.826671342,12,6,211,366.71342
0.828798504,12,6,212,387.98504
0.833122955,12,6,213,431.22955
0.830972417,12,6,214,409.72417
0.830972417,12,6,215,409.72417
0.833122955,12,6,216,431.22955
0.830949042,12,6,217,409.49042
0.828798504,12,6,218,387.98504
0.830949042,12,6,220,409.49042
0.833216456,12,7,180,432.16456
0.831065919,12,7,181,410.65919
0.831065919,12,7,182,410.65919
0.831065919,12,7,183,410.65919
0.835390369,12,7,184,453.90369
0.833239832,12,7,185,432.39832
0.833239832,12,7,186,432.39832
0.833239832,12,7,187,432.39832
0.835390369,12,7,188,453.90369
0.835390369,12,7,189,453.90369
0.835366994,12,7,190,453.66994
0.837540907,12,7,191,475.40907
0.835390369,12,7,192,453.90369
0.835390369,12,7,193,453.90369
0.835390369,12,7,194,453.90369
0.835390369,12,7,195,453.90369
0.835390369,12,7,196,453.90369
0.835390369,12,7,197,453.90369
0.837564282,12,7,198,475.64282
0.835390369,12,7,199,453.90369
0.835390369,12,7,200,453.90369
0.833239832,12,7,201,432.39832
0.833239832,12,7,202,432.39832
0.833239832,12,7,203,432.39832
0.831065919,12,7,204,410.65919
0.833239832,12,7,205,432.39832
0.831065919,12,7,206,410.65919
0.831065919,12,7,207,410.65919
0.833239832,12,7,208,432.39832
0.831065919,12,7,209,410.65919
0.831065919,12,7,210,410.65919
0.833216456,12,7,211,432.16456
0.833216456,12,7,212,432.16456
0.82886863,12,7,213,388.6863
0.833216456,12,7,214,432.16456
0.828892006,12,7,215,388.92006
0.831065919,12,7,216,410.65919
0.831042543,12,7,217,410.42543
0.831042543,12,7,218,410.42543
0.831042543,12,7,220,410.42543
0.831042543,12,8,180,410.42543
0.831042543,12,8,181,410.42543
0.831042543,12,8,182,410.42543
0.831042543,12,8,183,410.42543
0.831042543,12,8,184,410.42543
0.82886863,12,8,185,388.6863
0.82886863,12,8,186,388.6863
0.82886863,12,8,187,388.6863
0.831042543,12,8,188,410.42543
0.833216456,12,8,189,432.16456
0.833216456,12,8,190,432.16456
0.835390369,12,8,191,453.90369
0.833216456,12,8,192,432.16456
0.835390369,12,8,193,453.90369
0.835390369,12,8,194,453.90369
0.833216456,12,8,195,432.16456
0.833216456,12,8,196,432.16456
0.833216456,12,8,197,432.16456
0.833216456,12,8,198,432.16456
0.831042543,12,8,199,410.42543
0.831042543,12,8,200,410.42543
0.831042543,12,8,201,410.42543
0.831042543,12,8,202,410.42543
0.833216456,12,8,203,432.16456
0.831042543,12,8,204,410.42543
0.833216456,12,8,205,432.16456
0.831042543,12,8,206,410.42543
0.831042543,12,8,207,410.42543
0.82886863,12,8,208,388.6863
0.831042543,12,8,209,410.42543
0.831042543,12,8,210,410.42543
0.831042543,12,8,211,410.42543
0.82886863,12,8,212,388.6863
0.82886863,12,8,213,388.6863
0.82886863,12,8,214,388.6863
0.82886863,12,8,215,388.6863
0.826694717,12,8,216,366.94717
0.826694717,12,8,217,366.94717
0.826694717,12,8,218,366.94717
0.824520804,12,8,220,345.20804
0.81802244,12,9,180,280.2244
0.81802244,12,9,181,280.2244
0.81802244,12,9,182,280.2244
0.820196353,12,9,183,301.96353
0.822346891,12,9,184,323.46891
0.820196353,12,9,185,301.96353
0.818045816,12,9,186,280.45816
0.81802244,12,9,187,280.2244
0.81802244,12,9,188,280.2244
0.820196353,12,9,189,301.96353
0.81802244,12,9,190,280.2244
0.811500701,12,9,191,215.00701
0.81802244,12,9,192,280.2244
0.820196353,12,9,193,301.96353
0.81802244,12,9,194,280.2244
0.822346891,12,9,195,323.46891
